index,run_ID,bamFile,run_alias,run_accession,broker_name,instrument_name,run_date,run_file,run_center,total_data_blocks,experiment_accession,experiment_name,sra_link,run_url_link,xref_link,run_entrez_link,ddbj_link,ena_link,run_attribute,submission_accession,sradb_updated
0,1.0,,2008-09-12.BEST195-Lane7,DRR000001,,,2008-09-12 00:00:00,,NIG,,DRX000001,DRX000001,,,,,,,,DRA000001,2014-12-03 23:22:24
1,2.0,,2008-09-12.Bsu168-Lane5,DRR000002,,,2008-09-12 00:00:00,,NIG,,DRX000002,DRX000002,,,,,,,notes: repackaged seq prb sig2,DRA000002,2014-12-03 23:22:24
2,3.0,,DRR000003,DRR000003,,,2009-03-26 00:00:00,,UT-MGS,,DRX000003,DRX000003,,,,,,,notes: repackaged qseq,DRA000003,2014-12-03 23:22:24
3,4.0,,DRR000004,DRR000004,,,2009-03-26 00:00:00,,UT-MGS,,DRX000003,DRX000003,,,,,,,notes: repackaged qseq,DRA000003,2014-12-03 23:22:24
4,5.0,,DRR000005,DRR000005,,,2009-03-26 00:00:00,,UT-MGS,,DRX000003,DRX000003,,,,,,,notes: repackaged qseq,DRA000003,2014-12-03 23:22:24
5,6.0,,DRR000006,DRR000006,,,2009-03-26 00:00:00,,UT-MGS,,DRX000003,DRX000003,,,,,,,notes: repackaged qseq,DRA000003,2014-12-03 23:22:24
6,7.0,,DRR000007,DRR000007,,,2009-02-02 00:00:00,,UT-MGS,,DRX000003,DRX000003,,,,,,,notes: repackaged qseq,DRA000003,2014-12-03 23:22:24
7,8.0,,DRR000363,DRR000363,,,2010-02-15 00:00:00,,UT-MGS,,DRX000003,DRX000003,,,,,,,notes: repackaged qseq,DRA000003,2014-12-03 23:22:24
8,9.0,,DRR000364,DRR000364,,,2010-02-23 00:00:00,,UT-MGS,,DRX000003,DRX000003,,,,,,,notes: repackaged qseq,DRA000003,2014-12-03 23:22:24
9,10.0,,DRR000365,DRR000365,,,2010-02-23 00:00:00,,UT-MGS,,DRX000003,DRX000003,,,,,,,notes: repackaged qseq,DRA000003,2014-12-03 23:22:24
10,11.0,,DRR000366,DRR000366,,,2010-02-23 00:00:00,,UT-MGS,,DRX000003,DRX000003,,,,,,,notes: repackaged qseq,DRA000003,2014-12-03 23:22:24
11,12.0,,DRR000008,DRR000008,,,2009-06-12 00:00:00,,UT-MGS,,DRX000004,DRX000004,,,,,,,notes: repackaged qseq: ,DRA000004,2014-12-03 23:22:24
12,13.0,,DRR000009,DRR000009,,,2009-06-15 00:00:00,,UT-MGS,,DRX000004,DRX000004,,,,,,,notes: repackaged qseq: ,DRA000004,2014-12-03 23:22:24
13,14.0,,DRR000010,DRR000010,,,2009-06-15 00:00:00,,UT-MGS,,DRX000004,DRX000004,,,,,,,notes: repackaged qseq: ,DRA000004,2014-12-03 23:22:24
14,15.0,,DRR000011,DRR000011,,,2009-06-12 00:00:00,,UT-MGS,,DRX000005,DRX000005,,,,,,,notes: repackaged qseq int nse: ,DRA000005,2014-12-03 23:22:24
15,16.0,,DRR000012,DRR000012,,,2009-06-15 00:00:00,,UT-MGS,,DRX000005,DRX000005,,,,,,,notes: repackaged qseq: ,DRA000005,2014-12-03 23:22:24
16,17.0,,DRR000013,DRR000013,,,2009-06-15 00:00:00,,UT-MGS,,DRX000005,DRX000005,,,,,,,notes: repackaged qseq int nse: ,DRA000005,2014-12-03 23:22:24
17,18.0,,DRR000014,DRR000014,,,2009-06-12 00:00:00,,UT-MGS,,DRX000006,DRX000006,,,,,,,notes: repackaged qseq: ,DRA000006,2014-12-03 23:22:24
18,19.0,,DRR000015,DRR000015,,,2009-06-15 00:00:00,,UT-MGS,,DRX000006,DRX000006,,,,,,,notes: repackaged qseq: ,DRA000006,2014-12-03 23:22:24
