index,study_ID,study_alias,study_accession,study_title,study_type,study_abstract,broker_name,center_name,center_project_name,study_description,related_studies,primary_study,sra_link,study_url_link,xref_link,study_entrez_link,ddbj_link,ena_link,study_attribute,submission_accession,sradb_updated
0,1.0,DRP000001,DRP000001,Bacillus subtilis subsp. natto BEST195 genome sequencing project,Whole Genome Sequencing,<b><i>Bacillus subtilis</i> subsp. <i>natto</i> BEST195</b>. i>Bacillus subtilis</i> subsp. <i>natto</i> BEST195 was isolated from fermented soybeans and will be used for comparative genome analysis.,,KEIO,Bacillus subtilis subsp. natto BEST195,"Whole genome sequencing of a natto (fermented soybeans) producing strain of       Bacillus subtilis, BEST195.",,,,,pubmed: 20398357 || pubmed: 25329997,,,,DDBJ: AP011541-AP011542: Accession Number,DRA000001,2015-08-06 21:10:49
1,2.0,DRP000002,DRP000002,Model organism for prokaryotic cell differentiation and development,Whole Genome Sequencing,Whole genome resequencing of B. subtilis subtilis 168 with Solexa             GAII,,KEIO,Bacillus subtilis subsp. subtilis str. 168,"Whole genome resequencing of B. subtilis subtilis 168, as a reference             sequence in B. subtilis natto BEST195 genome sequencing.",,,,,pubmed: 20398357,,,,,DRA000002,2015-12-24 21:27:53
2,3.0,DRP000003,DRP000003,Comprehensive identification and characterization of the nucleosome             structure,Transcriptome Analysis,"Comprehensive identification and characterization of the nucleosome             structure in mammalian genes were attempted. We used Nucleosome-Seq method, in which             next gene sequencing technology and micrococcus nuclease digestion assay were             combined.",,UT-MGS,Integrative Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,pubmed: 20400770,,,,,DRA000003,2015-03-06 04:57:15
3,4.0,DRP000004,DRP000004,"Comprehensive identification and characterization of the transcripts, their             expression levels and sub-cellular localizations",Transcriptome Analysis,"Comprehensive identification and characterization of the transcripts, their             expression levels and sub-cellular localizations in mammalian genes were attempted. We             used RNA-Seq method, in which next gene sequencing technology and shotgun sequencing of             the RNAs were combined. We prepared RNA Seq libraries from several sub-cellular             fractions and carried out the massive sequencing.",,UT-MGS,Integrateve Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,pubmed: 20400770,,,,,DRA000004,2015-03-06 04:57:15
4,5.0,DRP000005,DRP000005,"Comprehensive identification and characterization of the transcripts, their             expression levels and sub-cellular localizations",Transcriptome Analysis,"Comprehensive identification and characterization of the transcripts, their             expression levels and sub-cellular localizations in mammalian genes were attempted. We             used RNA-Seq method, in which next gene sequencing technology and shotgun sequencing of             the RNAs were combined. We prepared RNA Seq libraries from several sub-cellular             fractions and carried out the massive sequencing.",,UT-MGS,Integrative Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,pubmed: 20400770,,,,,DRA000005,2015-03-06 04:57:15
5,6.0,DRP000006,DRP000006,"Comprehensive identification and characterization of the transcripts, their             expression levels and sub-cellular localizations",Transcriptome Analysis,"Comprehensive identification and characterization of the transcripts, their             expression levels and sub-cellular localizations in mammalian genes were attempted. We             used RNA-Seq method, in which next gene sequencing technology and shotgun sequencing of             the RNAs were combined. We prepared RNA Seq libraries from several sub-cellular             fractions and carried out the massive sequencing.",,UT-MGS,Integrative Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,DBTSS: http://dbtss.hgc.jp/,pubmed: 20400770,,,,,DRA000006,2015-03-06 04:57:15
6,7.0,DRP000007,DRP000007,Comprehensive identification and characterization of the binding sites of             polymerase II,Transcriptome Analysis,"Comprehensive identification and characterization of the binding sites of             polymerase II in mammalian genes were attempted. We used ChIP-Seq method, in which next             gene sequencing technology and chromatin-immunoprecipitation assay were             combined.",,UT-MGS,Integrative Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,,pubmed: 20400770,,,,,DRA000007,2015-03-06 04:57:15
7,8.0,DRP000008,DRP000008,Comprehensive identification and characterization of the binding sites of             polymerase II,Transcriptome Analysis,"Comprehensive identification and characterization of the binding sites of             polymerase II in mammalian genes were attempted. We used ChIP-Seq method, in which next             gene sequencing technology and chromatin-immunoprecipitation assay were             combined.",,UT-MGS,Integrative Transcriptome Analysis,"Although recent studies have revealed that the majority of human genes             are subjected to regulation of alternative promoters (APs), the biological relevance of             this phenomenon remains unclear. In order to understand biological significance of the             presence of divergent transcription initiation events in the respective cell types, it             is indispensable to obtain bird-view of the transcriptome figures at every step of the             gene expression; namely, i) how the genomic structure change to transcriptionally active             form, ii) where the transcription initiation complex is recruited, iii) to what extent             the transcription is activated, iv) what transcripts formed and sorted to what             subcellular fractions. We have recently started multi-faceted use of the Illumina GA to             answer these questions. Integrative analysis produced for respective aspects of the gene             expression regulations revealed the comprehensive figures of the complex human gene             transcriptome for the first time.",,,,,pubmed: 20400770,,,,,DRA000008,2015-03-06 04:57:15
8,9.0,DRP000009,DRP000009,Subsurface mine microbial mat metagenome,Metagenomics,This is a metagenomic project to figure out the microbial community             flourished along with hot water stream in the Japanese subsurface mine.,,JAMSTEC,Subsurface mine microbial mat metagenome,"This is a metagenomic project to figure out the microbial community             flourished along with hot water stream in the Japanese subsurface mine. As a first step             of this project, we constructed a fosmid library from the DNA directly isolated from the             microbial mat without cultivation. Since we could get about 3,500 fosmid clones, we             determined the paired-end sequence of all fosmid clones. Next, we classified all clones             in phylum level based on the information for the origin of the genes identified in the             paired-end sequence and then we selected 179 clones evenly according to the ratio of             each classified phylum to cover whole microbial community. These selected clones were             sequenced by shotgun sequencing method (Sanger). Moreover, we selected 158 fosmid clones             to increase the genomic information in the microbial mat and sequenced all the selected             clones at once by 454 sequencer.",,,,,pubmed: 22303444,,,,,DRA000009,2014-12-04 10:48:57
9,10.0,DRP000010,DRP000010,"Oryza sativa Japonica group genome sequencing project by QTL Genomics Research Center, Japan",Whole Genome Sequencing,Oryza sativa has important syntenic relationships with the other cereal species and is a model plant for the grasses.,,NIAS,Oryza sativa Japonica Group,Resequencing of Japanese rice varieties and SNP detections,,,,DDBJ:scaffold CON: DG000025-DG000036: ftp://ftp.ddbj.nig.ac.jp/ddbj_database/mass/Oryza_sativa_Japonica_Group_CON/ || DDBJ:WGS: BABO01000001-BABO01654543: ftp://ftp.ddbj.nig.ac.jp/ddbj_database/wgs/BABO.gz,pubmed: 20423466,,,,DDBJ: DG000025-DG000036: scaffold CON Accession Number || DDBJ: BABO01000001-BABO01654543: WGS Accession Number,DRA000010,2015-08-06 21:10:49
